elo_diff,fifa_diff,form_diff,gs_diff,gc_diff,mv_diff,inj_diff,susp_diff,home_adv,h2h_factor,target
0,0,0.7999999999999999,0.8,-0.40000000000000013,-460.0,-1,0,1,0.5,0
0,0,-0.20000000000000018,0.0,-0.19999999999999996,-170.0,2,0,1,0.5,1
0,0,-0.5999999999999999,0.3999999999999999,0.7999999999999998,10.0,0,0,1,0.5,0
0,0,0.0,-0.6000000000000001,-0.19999999999999996,-920.0,0,0,1,0.5,0
0,0,1.0,0.6000000000000001,0.0,-120.0,-3,0,1,0.5,1
0,0,-0.3999999999999999,0.19999999999999996,0.4,-150.0,1,0,1,0.5,0
0,0,0.40000000000000013,0.0,-0.8,710.0,-2,0,1,0.5,2
0,0,-0.7999999999999999,0.19999999999999996,1.7999999999999998,-180.0,1,0,1,0.5,0
0,0,-1.4,-1.2000000000000002,1.0,10.0,-1,0,1,0.5,0
0,0,-0.40000000000000013,-0.40000000000000013,0.40000000000000013,840.0,1,0,1,0.5,1
0,0,-1.4,-0.40000000000000013,1.7999999999999998,-730.0,0,0,1,0.5,2
0,0,0.20000000000000018,0.19999999999999996,-0.19999999999999996,270.0,0,0,1,0.5,1
0,0,0.19999999999999973,0.0,0.3999999999999999,-480.0,1,0,1,0.5,2
0,0,-1.8,-0.6000000000000001,1.8,-600.0,-3,0,1,0.5,1
0,0,0.0,-0.6000000000000001,0.0,-30.0,-3,0,1,0.5,2
0,0,1.2,1.6,0.40000000000000013,1180.0,-2,0,1,0.5,2
0,0,1.4,1.4,-0.20000000000000018,400.0,-1,0,1,0.5,2
0,0,-0.7999999999999999,-0.19999999999999996,0.6000000000000001,360.0,2,0,1,0.5,2
0,0,-0.7999999999999999,0.3999999999999999,1.0,-700.0,0,0,1,0.5,1
0,0,0.3999999999999999,0.19999999999999996,-0.6000000000000001,30.0,1,0,1,0.5,1
0,0,-0.19999999999999996,0.8,1.2000000000000002,-90.0,-2,0,1,0.5,0
0,0,-1.2,-1.4,0.6000000000000001,-350.0,0,0,1,0.5,0
0,0,-0.7999999999999998,-0.20000000000000018,0.0,610.0,3,0,1,0.5,2
0,0,-0.6000000000000001,-0.40000000000000013,0.8,430.0,0,0,1,0.5,2
0,0,-1.2,-0.8,0.20000000000000018,-90.0,3,0,1,0.5,0
0,0,1.6,1.8,-1.0000000000000002,740.0,-1,0,1,0.5,2
0,0,-1.0,-1.0000000000000002,0.19999999999999996,-570.0,0,0,1,0.5,2
0,0,-0.3999999999999999,-1.8,-1.0,-830.0,2,0,1,0.5,0
0,0,0.8,-0.20000000000000018,-0.8,-400.0,-2,0,1,0.5,2
0,0,-1.8,-1.2000000000000002,0.6000000000000001,-180.0,0,0,1,0.5,0
0,0,0.3999999999999999,-0.6000000000000001,-0.7999999999999998,190.0,0,0,1,0.5,1
0,0,1.2000000000000002,1.0,-0.8,380.0,2,0,1,0.5,1
0,0,0.3999999999999999,0.8,0.3999999999999999,-300.0,-1,0,1,0.5,1
0,0,0.6,0.8,-0.20000000000000018,100.0,-3,0,1,0.5,1
0,0,0.0,0.6000000000000001,0.20000000000000018,410.0,1,0,1,0.5,1
0,0,1.7999999999999998,1.8,-0.19999999999999996,800.0,-2,0,1,0.5,2
0,0,-0.8,-0.6,0.3999999999999999,-30.0,-1,0,1,0.5,0
0,0,-0.8,-0.40000000000000013,0.8000000000000003,-150.0,2,0,1,0.5,0
0,0,-0.19999999999999996,-0.8,0.19999999999999996,-780.0,-1,0,1,0.5,0
0,0,-0.8,0.8,0.8,-210.0,1,0,1,0.5,2
0,0,1.4,0.19999999999999973,-0.20000000000000018,-90.0,0,0,1,0.5,2
0,0,0.0,0.8000000000000003,1.0,-30.0,-3,0,1,0.5,2
0,0,0.0,0.3999999999999999,0.40000000000000013,80.0,0,0,1,0.5,2
0,0,-1.8,-2.5999999999999996,0.0,-890.0,3,0,1,0.5,0
0,0,1.0,0.19999999999999996,-0.5999999999999999,630.0,-2,0,1,0.5,2
0,0,0.7999999999999999,-0.19999999999999996,-0.6000000000000001,60.0,3,0,1,0.5,2
0,0,-1.0,0.0,0.6000000000000001,-90.0,3,0,1,0.5,1
0,0,2.2,1.6,-1.0,540.0,1,0,1,0.5,2
