home_team,away_team,raw_home_xg,raw_away_xg,clipped_home_xg,clipped_away_xg,final_home_xg,final_away_xg,home_clipped,away_clipped,actual_home_score,actual_away_score,match_status
Spain,Saudi Arabia,2.2323172092437744,0.5752852559089661,2.2323172092437744,0.5752852559089661,2.2323,0.5753,False,False,4.0,0.0,FINISHED
Tunisia,Japan,0.7250967621803284,1.8731024265289307,0.7250967621803284,1.8731024265289307,0.7251,1.8731,False,False,0.0,4.0,FINISHED
Ecuador,Curaçao,2.4464313983917236,0.7292307019233704,2.4464313983917236,0.7292307019233704,2.4464,0.7292,False,False,0.0,0.0,FINISHED
Germany,Ivory Coast,1.1240249872207642,1.139269232749939,1.1240249872207642,1.139269232749939,1.124,1.1393,False,False,2.0,1.0,FINISHED
Netherlands,Sweden,2.5074727535247803,1.270087718963623,2.5074727535247803,1.270087718963623,2.5075,1.2701,False,False,5.0,1.0,FINISHED
Turkey,Paraguay,0.35367724299430847,0.5293014049530029,0.35367724299430847,0.5293014049530029,0.3537,0.5293,False,False,0.0,1.0,FINISHED
Brazil,Haiti,1.4558866024017334,0.747438371181488,1.4558866024017334,0.747438371181488,1.4559,0.7474,False,False,3.0,0.0,FINISHED
Scotland,Morocco,0.8522909283638,1.9777264595031738,0.8522909283638,1.9777264595031738,0.8523,1.9777,False,False,0.0,1.0,FINISHED
United States,Australia,1.7553033828735352,1.1883281469345093,1.7553033828735352,1.1883281469345093,1.7553,1.1883,False,False,2.0,0.0,FINISHED
Mexico,South Korea,1.7218303680419922,0.7845679521560669,1.7218303680419922,0.7845679521560669,1.7218,0.7846,False,False,1.0,0.0,FINISHED
Canada,Qatar,1.3264338970184326,1.2838512659072876,1.3264338970184326,1.2838512659072876,1.3264,1.2839,False,False,6.0,0.0,FINISHED
Switzerland,Bosnia-Herzegovina,2.8893518447875977,0.9849977493286133,2.8893518447875977,0.9849977493286133,2.8894,0.985,False,False,4.0,1.0,FINISHED
Czechia,South Africa,1.6825182437896729,0.8487877249717712,1.6825182437896729,0.8487877249717712,1.6825,0.8488,False,False,1.0,1.0,FINISHED
Uzbekistan,Colombia,0.7244495749473572,1.274885654449463,0.7244495749473572,1.274885654449463,0.7244,1.2749,False,False,1.0,3.0,FINISHED
Ghana,Panama,1.1662265062332153,1.0592377185821533,1.1662265062332153,1.0592377185821533,1.1662,1.0592,False,False,1.0,0.0,FINISHED
England,Croatia,2.5589611530303955,1.6891751289367676,2.5589611530303955,1.6891751289367676,2.559,1.6892,False,False,4.0,2.0,FINISHED
Portugal,Congo DR,0.9500779509544373,0.7771844863891602,0.9500779509544373,0.7771844863891602,0.9501,0.7772,False,False,1.0,1.0,FINISHED
Austria,Jordan,2.3560128211975098,0.6063434481620789,2.3560128211975098,0.6063434481620789,2.356,0.6063,False,False,3.0,1.0,FINISHED
Argentina,Algeria,1.4076159000396729,1.850184440612793,1.4076159000396729,1.850184440612793,1.4076,1.8502,False,False,3.0,0.0,FINISHED
Iraq,Norway,0.48933038115501404,0.8731862902641296,0.48933038115501404,0.8731862902641296,0.4893,0.8732,False,False,1.0,4.0,FINISHED
France,Senegal,1.9206781387329102,1.349361777305603,1.9206781387329102,1.349361777305603,1.9207,1.3494,False,False,3.0,1.0,FINISHED
Iran,New Zealand,2.174351930618286,1.5552409887313843,2.174351930618286,1.5552409887313843,2.1744,1.5552,False,False,2.0,2.0,FINISHED
Saudi Arabia,Uruguay,1.0422247648239136,1.0702399015426636,1.0422247648239136,1.0702399015426636,1.0422,1.0702,False,False,1.0,1.0,FINISHED
Belgium,Egypt,1.822222113609314,1.2086021900177002,1.822222113609314,1.2086021900177002,1.8222,1.2086,False,False,1.0,1.0,FINISHED
Spain,Cape Verde Islands,3.40421462059021,1.0321558713912964,3.40421462059021,1.0321558713912964,3.4042,1.0322,False,False,0.0,0.0,FINISHED
Sweden,Tunisia,2.4805147647857666,1.1966371536254883,2.4805147647857666,1.1966371536254883,2.4805,1.1966,False,False,5.0,1.0,FINISHED
Ivory Coast,Ecuador,0.7358439564704895,1.1608309745788574,0.7358439564704895,1.1608309745788574,0.7358,1.1608,False,False,1.0,0.0,FINISHED
Netherlands,Japan,0.9155499339103699,1.163162112236023,0.9155499339103699,1.163162112236023,0.9155,1.1632,False,False,2.0,2.0,FINISHED
Germany,Curaçao,1.6898225545883179,1.2444101572036743,1.6898225545883179,1.2444101572036743,1.6898,1.2444,False,False,7.0,1.0,FINISHED
Australia,Turkey,1.8647924661636353,1.2260966300964355,1.8647924661636353,1.2260966300964355,1.8648,1.2261,False,False,2.0,0.0,FINISHED
Haiti,Scotland,1.2843735218048096,1.0409854650497437,1.2843735218048096,1.0409854650497437,1.2844,1.041,False,False,0.0,1.0,FINISHED
Brazil,Morocco,1.7223337888717651,1.877547264099121,1.7223337888717651,1.877547264099121,1.7223,1.8775,False,False,1.0,1.0,FINISHED
Qatar,Switzerland,0.9301460981369019,2.2802577018737793,0.9301460981369019,2.2802577018737793,0.9301,2.2803,False,False,1.0,1.0,FINISHED
United States,Paraguay,1.4646239280700684,0.9123667478561401,1.4646239280700684,0.9123667478561401,1.4646,0.9124,False,False,4.0,1.0,FINISHED
Canada,Bosnia-Herzegovina,2.9034531116485596,0.35203996300697327,2.9034531116485596,0.35203996300697327,2.9035,0.352,False,False,1.0,1.0,FINISHED
South Korea,Czechia,1.8789819478988647,0.5804005861282349,1.8789819478988647,0.5804005861282349,1.879,0.5804,False,False,2.0,1.0,FINISHED
Mexico,South Africa,1.8421125411987305,0.9905043840408325,1.8421125411987305,0.9905043840408325,1.8421,0.9905,False,False,2.0,0.0,FINISHED
